CaseName,Technology_Year,Baseline_Capacity,Case_Capacity,Percent_Difference
PJM_Baseline_Example_52,Minor_Techs_p0,1875.8000000000002,1875.8000000000002,0.0
PJM_Baseline_Example_52,Hydropower_p0,837.1,837.1,0.0
PJM_Baseline_Example_52,Existing_Nuclear_p0,11013.7,11013.7,0.0
PJM_Baseline_Example_52,New_Nuclear_p0,0.0,0.0,
PJM_Baseline_Example_52,Coal_p0,5809.9,5809.9,0.0
PJM_Baseline_Example_52,Solar_p0,5453.0,5453.0,0.0
PJM_Baseline_Example_52,Wind_p0,1076.0,1076.0,0.0
PJM_Baseline_Example_52,Natural_Gas_p0,33775.9,33775.9,0.0
PJM_Baseline_Example_52,Battery_Power_p0,116.80000000000001,116.80000000000001,0.0
PJM_Baseline_Example_52,Battery_Energy_p0,233.60000000000002,233.60000000000002,0.0
PJM_Baseline_Example_52,Minor_Techs_p1,1875.8000000000002,1875.8000000000002,0.0
PJM_Baseline_Example_52,Hydropower_p1,837.1,837.1,0.0
PJM_Baseline_Example_52,Existing_Nuclear_p1,11013.7,11013.7,0.0
PJM_Baseline_Example_52,New_Nuclear_p1,0.32,4.97,1453.1249999999998
PJM_Baseline_Example_52,Coal_p1,5809.85,5809.62,-0.003958794116895839
PJM_Baseline_Example_52,Solar_p1,19441.989999999998,18975.48,-2.3994971708142963
PJM_Baseline_Example_52,Wind_p1,2125.89,1128.6,-46.91164641632446
PJM_Baseline_Example_52,Natural_Gas_p1,34628.95,35207.16,1.6697300957724863
PJM_Baseline_Example_52,Battery_Power_p1,8258.77,7350.68,-10.995463004781584
PJM_Baseline_Example_52,Battery_Energy_p1,23423.55,22007.02,-6.04746078199077
PJM_Baseline_Example_52,Minor_Techs_p2,1875.8000000000002,1875.8000000000002,0.0
PJM_Baseline_Example_52,Hydropower_p2,837.1,837.1,0.0
PJM_Baseline_Example_52,Existing_Nuclear_p2,11013.7,11013.7,0.0
PJM_Baseline_Example_52,New_Nuclear_p2,14.51,7.72,-46.795313576843554
PJM_Baseline_Example_52,Coal_p2,5809.67,5809.38,-0.004991677668438372
PJM_Baseline_Example_52,Solar_p2,19986.37,19511.600000000002,-2.3754688820430965
PJM_Baseline_Example_52,Wind_p2,5211.610000000001,5216.01,0.08442688535787667
PJM_Baseline_Example_52,Natural_Gas_p2,43103.61,43129.48,0.060018174811814186
PJM_Baseline_Example_52,Battery_Power_p2,6662.61,7411.13,11.23463627617406
PJM_Baseline_Example_52,Battery_Energy_p2,27117.09,30855.17,13.784959964361951
PJM_Baseline_Example_52,Minor_Techs_p3,1875.8000000000002,1875.8000000000002,0.0
PJM_Baseline_Example_52,Hydropower_p3,837.1,837.1,0.0
PJM_Baseline_Example_52,Existing_Nuclear_p3,11013.7,11013.7,0.0
PJM_Baseline_Example_52,New_Nuclear_p3,31.63,23.72,-25.007903888713244
PJM_Baseline_Example_52,Coal_p3,5809.41,5808.7,-0.01222155089759608
PJM_Baseline_Example_52,Solar_p3,20939.0,20453.24,-2.319881560724
PJM_Baseline_Example_52,Wind_p3,6569.7699999999995,6569.72,-0.0007610616505489904
PJM_Baseline_Example_52,Natural_Gas_p3,58668.740000000005,59234.47,0.9642784215239595
PJM_Baseline_Example_52,Battery_Power_p3,10611.970000000001,9289.67,-12.46045738915584
PJM_Baseline_Example_52,Battery_Energy_p3,46461.25,41446.15,-10.794156420673138
